domain,topic,video_title,video_url,comment,sentiment
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,He knows what he is doing 👍👍 the truth and the sronghold,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,"Industrial Master Plan
Should be Target Certain area
Eg Ghost City ln order to know our place in ASEAN competition eg Industrial Economy",Neutral
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Very intelligent minister,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,The beginning of Malaysia AI Artificial Intelligence Kepintaran Buatan industry,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Lagi MANTAP MALAYSIA..,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Congratulations for your ratification of WTO laws.,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Mantap..👍😊👍🇲🇾,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Mantap,Positive
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Can't imagine if menteri formula is being interviewed.,Negative
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI, ,
